Tweet id,Tweet permalink,Tweet text,time (utc),date (cst),"score (10x user profile click, 5x retweet, 7x reply, 1x favorite, 1x url click, 1x detail expand)",Followers (est),impressions,engagements,engagement rate,retweets,replies,favorites,user profile clicks,url clicks,hashtag clicks,detail expands,time of day,day of week,char length (not including url),topic:technology?,topic:privacy?,topic:data?,topic:education?,content type: website?,content type: blog?,content type: article?,content type: video?,content source,number of hashtags,#edchat?,#edtech?,#dataforstudents?,#eddata or #educationdata?,conference related?,image?,11-noon Tuesday?,url?,quotation?,questionmark?,people count,people:news,people:author,people:other,hand scored?,normalization factor,normalized score,standard deviation,promoted impressions,promoted engagements,promoted engagement rate,promoted retweets,promoted replies,promoted favorites,promoted user profile clicks,promoted url clicks,promoted hashtag clicks,promoted detail expands,promoted permalink clicks,promoted embedded media clicks,promoted app opens,promoted app installs,promoted follows,promoted email tweet,promoted dial phone,promoted video views
5.89E+17,https://twitter.com/Learnmetrics/status/589077284897824769,A Call for Data Literacy. #dataforstudents #privacy http://t.co/x8trJzD591,2015-04-17 14:45 +0000,4/17/15,0,1056,24,0,0,0,0,0,0,0,0,0,9:45,Friday,51,,X,,X,,,X,,Huffington Post,2,FALSE,FALSE,TRUE,FALSE,,,FALSE,TRUE,FALSE,FALSE,0,,,,X,0.50000184,0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5.89E+17,https://twitter.com/Learnmetrics/status/589045821569638401,"Learning #analytics has largely untapped potential, with far more value to be gained from mining #student #data. http://t.co/fUEzuwwPnn",2015-04-17 12:40 +0000,4/17/15,20,1056,60,2,0.033333333,0,0,0,2,0,0,0,7:40,Friday,112,,,X,X,,,X,,EducauseReview,3,FALSE,FALSE,FALSE,FALSE,,,FALSE,TRUE,FALSE,FALSE,0,,,,X,0.50000184,10,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5.89E+17,https://twitter.com/Learnmetrics/status/588805504245313537,A multi-stakeholder approach to safeguarding privacy is best. #educationdata #privacy http://t.co/3NvfdDDyWo,2015-04-16 20:45 +0000,4/16/15,0,1051,112,0,0,0,0,0,0,0,0,0,15:45,Thursday,85,,X,,X,,,X,,edSurge,2,FALSE,FALSE,FALSE,TRUE,,,FALSE,TRUE,FALSE,FALSE,0,,,,X,0.50292239,0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5.89E+17,https://twitter.com/Learnmetrics/status/588724951437484034,_ÑÒteachers with more years of experience are better equipped to boost more than just test scores_Ñ @educationweek http://t.co/NqKIpoJal8,2015-04-16 15:25 +0000,4/16/15,5,1051,99,5,0.050505051,0,0,1,0,3,0,1,10:25,Thursday,115,,,,X,,,X,,Education Week,0,FALSE,FALSE,FALSE,FALSE,,,FALSE,TRUE,FALSE,FALSE,1,X,,,X,0.50292239,3,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5.89E+17,https://twitter.com/Learnmetrics/status/588673671482449920,"If we care about young people's privacy, we need to teach them data literacy. #studentprivacy #dataliteracy http://t.co/35Mgoj2ZLz",2015-04-16 12:01 +0000,4/16/15,10,1051,99,1,0.01010101,0,0,0,1,0,0,0,7:01,Thursday,107,,X,X,X,,,X,,Huffington Post,2,FALSE,FALSE,FALSE,FALSE,,,FALSE,TRUE,FALSE,FALSE,0,,,,X,0.50292239,5,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5.88E+17,https://twitter.com/Learnmetrics/status/588440514833285120,Know Thy Students: Providing Aggregate Student Data to Instructors @EDUCAUSEreview #dataforstudents http://t.co/NEUfded2zn,2015-04-15 20:35 +0000,4/15/15,2,1046,120,2,0.016666667,0,0,0,0,1,0,1,15:35,Wednesday,99,,,X,X,,,X,,EducauseReview,1,FALSE,FALSE,TRUE,FALSE,,,FALSE,TRUE,FALSE,FALSE,1,X,,,X,0.50584294,1,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5.88E+17,https://twitter.com/Learnmetrics/status/588361304668241922,Students learn better when their social and emotional skills are developed alongside academics. http://t.co/bXVdeDrg7N | @Education_AIR,2015-04-15 15:20 +0000,4/15/15,11,1046,312,3,0.009615385,2,0,0,0,1,0,0,10:20,Wednesday,95,,,,X,,,X,,American Institues for Research,0,FALSE,FALSE,FALSE,FALSE,,,FALSE,TRUE,FALSE,FALSE,1,X,,,X,0.50584294,6,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5.88E+17,https://twitter.com/Learnmetrics/status/588312225246531584,_ÑÒI_Ñéve never seen anything that has made as immediate and substantive changes in the growth of children_Ñés_Ñ @usedgov http://t.co/ZubBAEeIG3,2015-04-15 12:05 +0000,4/15/15,9,1046,117,6,0.051282051,1,0,0,0,1,0,3,7:05,Wednesday,122,,,,X,,,X,,US Department of Education,0,FALSE,FALSE,FALSE,FALSE,,,FALSE,TRUE,FALSE,FALSE,1,,,X,X,0.50584294,5,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5.88E+17,https://twitter.com/Learnmetrics/status/587718313721131008,_ÑÒteachers improved their ability to boost student test scores on average by 40% between their 10th and 30th year_Ñ http://t.co/NPdMJmFFtX,2015-04-13 20:45 +0000,4/13/15,12,1036,226,4,0.017699115,2,0,1,0,1,0,0,15:45,Monday,117,,,,X,,,X,,Education Week,0,FALSE,FALSE,FALSE,FALSE,,,FALSE,TRUE,FALSE,FALSE,0,,,,X,0.51168404,6,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5.88E+17,https://twitter.com/Learnmetrics/status/587592427629838337,"""Teachers have long been frustrated with static, canned curriculum that doesn_Ñét seem connected to kids lives"" #edchat http://t.co/e2BdBxKEWi",2015-04-13 12:25 +0000,4/13/15,2,1036,162,2,0.012345679,0,0,1,0,1,0,0,7:25,Monday,119,,,,X,,,X,,KQED News,1,TRUE,FALSE,FALSE,FALSE,,,FALSE,TRUE,TRUE,FALSE,0,,,,X,0.51168404,1,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
